"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"273","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species is sensitive to desiccation due to loss of water (from impoundments, drought or surface water diversions); species is also sensitive to changes in flow.","species recovery plan  (http://ecos.fws.gov/docs/recovery_plan/040602.pdf)","Hydrology","Yes"
"274","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"275","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Formerly found across multiple river basins. Species is geographically limited within its original small range due to habitat loss.","NatureServe","Isolation","No"
"276","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species is threatened by zebra mussel, a species which is likely to expand in range and abundance under CC","NatureServe","Injurious species","Yes"
"277","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","species is sensitive to changes in water quality, including many changes caused by impoundment such as reduced dissolved oxygen, and increased carbon dioxide and changes in pH","species recovery plan  (http://ecos.fws.gov/docs/recovery_plan/040602.pdf)","Chemistry","Yes"
"278","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"279","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","""The natural fish host(s) of the Ouachita rock pocketbook remain(s) unknown. Nearly all unionid mussel species must parasitize fish to transform from glochidium to juvenile, and many can successfully parasitize only one to a few fish species (Lefevre and Curtis 1912, Coker et al. 1922). This narrow dependency on specific host fish is one of the main factors contributing to the high sensitivity of unionid mussels to environmental disturbance (Bogan 1993, Neves et al. 1997). Fish species that share the same
natural distribution and habitat preference as the Ouachita rock pocketbook, and fish hosts for closely related species, likely include the host(s) for A. wheeleri.","NatureServe; species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040602.pdf)","Obligate relationships","Yes"
"281","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"282","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species requires certain moisture levels on soil and access to spring fed water systems.  Adequate moisture levels under vegetation can help it survive fires (vulnerable to fire since it lives on the surface).  Species is also sensitive to changes in salinity that can be caused by invasive tamarisk.  Decreased spring flow (caused by climate change induced drought) could lead to a decrease in the amount of suitable habitat, increased water temperature fluctuations, lower dissolved oxygen levels, and an increase in salinity which would negatively affect the species.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3600.pdf)","Hydrology","Yes"
"283","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species may be sensitive to removal of vegetation via fires. ""It is likely that Pecos assiminea may survive fire or other vegetation reduction if sufficient litter and ground cover remain to sustain appropriate soil moisture and humidity at a microhabitat scale (NMDGF 2005, Service 2004). Complete combustion of vegetation and litter, high soil temperatures during fire, or extensive vegetation removal resulting in soil and litter drying may create unsuitable habitat conditions and loss of populations (NMDGF 2005).""","NatureServe, FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3600.pdf)","Disturbance","No"
"284","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species is restricted to spring location in a habitat island of unsuitable arid lands.  Species cannot move among springs.  ""Probably >10,000 individuals occupying 800 ha (<2,000 acres) of spring run. At Bitter Creek occupies about 0.8 km (0.5 mi) of spring run, and at Diamond Y occupies about 1.5 km (1 mi) of spring and spring run (Taylor, 1987; USFWS, 2005; 2010). Extirpated at two sites in Roswell area.""","NatureServe, FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3600.pdf)","Isolation","Yes"
"285","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species habitat is threatened by several non-native plants including tamarisk (salt cedar), common reed, and tumbleweed.  These species may all become more prevalent under climate change and the ecosystem alterations they cause (such as the tamarisk increasing water salinity) may become more problematic under climate change.  Efforts to remove them are also problematic for the species.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3600.pdf)","Injurious species","Yes"
"286","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"287","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"288","Assiminea pecos","Snail, Pecos assiminea ","Invertebrate","Mollusk","FWS Region 2: Southwest","NM, TX",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"290","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Nothing specific mentioned here though it was noted that sedimentation can raise stream temperatures which likely affects the species","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3619.pdf)","Temperature","No"
"291","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species requires adequate water flow and does not tolerate impoundments.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3619.pdf)","Hydrology","Yes"
"292","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Very sensitive to the effects of ongoing sedimentation (mainly in terms of water quality loss) which suggests it would be sensitive to major flooding and storm events.","FWS five-year review  (http://ecos.fws.gov/docs/five_year_review/doc3619.pdf)","Disturbance","Yes"
"293","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Once widespread in the Tennessee River system the species has been severely restricted by habitat loss and modification  and currently it is known from five or perhaps a few more occurrences (3 rivers) in a range extent of less than 250 square km and area of occupancy less than 100 square km ","NatureServe","Isolation","No"
"294","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"295","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species is sensitive to changes in water quality and chemistry.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3619.pdf)","Chemistry","Yes"
"296","Athearnia anthonyi","Riversnail, Anthony's","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, GA, TN",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
